stim_file,have_break,press_spacebar_instructions,just_pay_attention,sentence_stim,sentence_blocks.thisRepN,sentence_blocks.thisTrialN,sentence_blocks.thisN,sentence_blocks.thisIndex,press_spacebar_instr_loop.thisRepN,press_spacebar_instr_loop.thisTrialN,press_spacebar_instr_loop.thisN,press_spacebar_instr_loop.thisIndex,just_pay_attn_loop.thisRepN,just_pay_attn_loop.thisTrialN,just_pay_attn_loop.thisN,just_pay_attn_loop.thisIndex,sentence_loop.thisRepN,sentence_loop.thisTrialN,sentence_loop.thisN,sentence_loop.thisIndex,letters_loop.thisRepN,letters_loop.thisTrialN,letters_loop.thisN,letters_loop.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textSentenceInstructions.started,textSentenceInstructions.stopped,keySentenceInstructions.keys,keySentenceInstructions.rt,keySentenceInstructions.started,keySentenceInstructions.stopped,last_error_t,visible_sentence,current_character,sentence_type,phase_type,lp_diam,rp_diam,lp_validity,rp_validity,lp_diam_mean,rp_diam_mean,lp_validity_mean,rp_validity_mean,textSentenceTrial.started,textSentenceTrial.stopped,keySentenceTrial.keys,keySentenceTrial.started,keySentenceTrial.stopped,last_error_rt,keySentenceTrial.rt,participant,session,Gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,18.9520921000003,None,space,2.4179399000004196,18.9520921000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,rn,001,male,2022_Jul_21_1243,ErrorStudy_v1,2021.2.3,59.923298178089695,
Letters_1st_Run.xlsx,1,1,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,23.507434500000272,None,space,26.414765600000464,23.507434500000272,None,,,,,,,,,,,,,,,,,,,,,rn,001,male,2022_Jul_21_1243,ErrorStudy_v1,2021.2.3,59.923298178089695,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,-999.5,E,E,,sentence_trial,"[3.4030609130859375, 3.400177001953125, 3.3966217041015625, 3.400604248046875, 3.4036712646484375, 3.399993896484375, 3.3981475830078125, 3.4060211181640625, 3.404754638671875, 3.3935394287109375, 3.3973846435546875, 3.403350830078125, 3.4026336669921875, 3.4024658203125, 3.403228759765625, 3.4065399169921875, 3.41363525390625, 3.4141082763671875, 3.412017822265625, 3.4215545654296875, 3.416656494140625, 3.3989105224609375, 3.3896484375, 3.396148681640625, 3.3968353271484375, 3.4043731689453125, 3.412750244140625, 3.4103546142578125, 3.415863037109375, 3.433135986328125]","[3.1211395263671875, 3.1177825927734375, 3.13018798828125, 3.131439208984375, 3.124053955078125, 3.1234130859375, 3.1253662109375, 3.1219024658203125, 3.116180419921875, 3.1114654541015625, 3.1189422607421875, 3.1308441162109375, 3.1296844482421875, 3.13104248046875, 3.143280029296875, 3.1406402587890625, 3.141571044921875, 3.150909423828125, 3.1599273681640625, 3.1626434326171875, 3.1506805419921875, 3.1395416259765625, 3.131622314453125, 3.13116455078125, 3.1271209716796875, 3.1289215087890625, 3.1337127685546875, 3.131500244140625, 3.1301422119140625, 3.1370697021484375]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.405272928873698,3.132463073730469,1.0,1.0,49.9709899999998,None,None,49.9709899999998,None,,,rn,001,male,2022_Jul_21_1243,ErrorStudy_v1,2021.2.3,59.923298178089695,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,-999.0,Ey,y,,sentence_trial,"[3.4472808837890625, 3.454864501953125, 3.457794189453125, 3.46942138671875, 3.475860595703125, 3.48028564453125, 3.4915008544921875, 3.503662109375, 3.518646240234375, 3.525970458984375, 3.5205078125, 3.5239105224609375, 3.5316009521484375, 3.5312347412109375, 3.5245513916015625, 3.5246429443359375, 3.5187225341796875, 3.5117645263671875, 3.504791259765625, 3.49224853515625, 3.4837188720703125, 3.46710205078125, 3.4601898193359375, 3.45013427734375, 3.443328857421875, 3.4318389892578125, 3.4249114990234375, 3.4160919189453125, 3.40826416015625]","[3.1424102783203125, 3.1566162109375, 3.1577606201171875, 3.1593780517578125, 3.164703369140625, 3.17718505859375, 3.184600830078125, 3.184051513671875, 3.18701171875, 3.200286865234375, 3.19976806640625, 3.204376220703125, 3.2067718505859375, 3.2060394287109375, 3.2113189697265625, 3.2052459716796875, 3.2006683349609375, 3.1995086669921875, 3.191864013671875, 3.1814422607421875, 3.1699676513671875, 3.15826416015625, 3.1557159423828125, 3.144439697265625, 3.147125244140625, 3.146881103515625, 3.13104248046875, 3.1273040771484375, 3.138153076171875]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.482580776872306,3.173789714944774,1.0,1.0,50.48819009999988,None,None,50.48819009999988,None,,,rn,001,male,2022_Jul_21_1243,ErrorStudy_v1,2021.2.3,59.923298178089695,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,-998.5,Eye,e,,sentence_trial,"[3.4087066650390625, 3.4057159423828125, 3.402313232421875, 3.4028472900390625, 3.3975372314453125, 3.4003448486328125, 3.4050750732421875, 3.4056243896484375, 3.40716552734375, 3.40802001953125, 3.4086761474609375, 3.40826416015625, 3.406158447265625, 3.407958984375, 3.4185333251953125, 3.4133453369140625, 3.4213714599609375, 3.428558349609375, 3.423095703125, 3.4280853271484375, 3.4362030029296875, 3.437164306640625, 3.4352874755859375, 3.4272003173828125, 3.424346923828125, 3.4300689697265625, 3.432220458984375, 3.42803955078125, 3.4249267578125, 3.43292236328125]","[3.1310272216796875, 3.114593505859375, 3.1172027587890625, 3.129180908203125, 3.1266326904296875, 3.12274169921875, 3.126983642578125, 3.1284027099609375, 3.126922607421875, 3.129669189453125, 3.1319122314453125, 3.1267242431640625, 3.137725830078125, 3.1414031982421875, 3.1386871337890625, 3.1417388916015625, 3.1478729248046875, 3.1528472900390625, 3.1548919677734375, 3.16082763671875, 3.169921875, 3.1656494140625, 3.167694091796875, 3.1726837158203125, 3.1692962646484375, 3.1692962646484375, 3.1681976318359375, 3.166290283203125, 3.1727447509765625, 3.178375244140625]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.417192586263021,3.146271260579427,1.0,1.0,50.973139800000354,None,None,50.973139800000354,None,,,rn,001,male,2022_Jul_21_1243,ErrorStudy_v1,2021.2.3,59.923298178089695,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,-998.0,Eye-,-,,sentence_trial,"[3.435455322265625, 3.4365692138671875, 3.4353485107421875, 3.4285736083984375, 3.429290771484375, 3.431732177734375, 3.4326324462890625, 3.4333953857421875, 3.43463134765625, 3.43511962890625, 3.4355926513671875, 3.43731689453125, 3.4426727294921875, 3.4457244873046875, 3.44970703125, 3.45245361328125, 3.4540863037109375, 3.4588470458984375, 3.4677886962890625, 3.47637939453125, 3.488250732421875, 3.494293212890625, 3.50274658203125, 3.5120697021484375, 3.5174102783203125, 3.5276641845703125, 3.5303802490234375, 3.5330810546875, 3.5418701171875, 3.537994384765625]","[3.174346923828125, 3.177581787109375, 3.1781463623046875, 3.17315673828125, 3.1660919189453125, 3.164947509765625, 3.1695404052734375, 3.17352294921875, 3.177337646484375, 3.1763458251953125, 3.178863525390625, 3.1827392578125, 3.1849212646484375, 3.183135986328125, 3.1920166015625, 3.189697265625, 3.1881103515625, 3.20318603515625, 3.2154693603515625, 3.2164459228515625, 3.213714599609375, 3.218109130859375, 3.2245330810546875, 3.225189208984375, 3.23004150390625, 3.2374725341796875, 3.2439727783203125, 3.2453460693359375, 3.2476806640625, 3.2479705810546875]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.4679692586263022,3.19998779296875,1.0,1.0,51.473737000000256,None,None,51.473737000000256,None,,,rn,001,male,2022_Jul_21_1243,ErrorStudy_v1,2021.2.3,59.923298178089695,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,-997.5,Eye-t,t,,sentence_trial,"[3.538909912109375, 3.543792724609375, 3.5467681884765625, 3.5504302978515625, 3.5432891845703125, 3.5436248779296875, 3.5485076904296875, 3.5440521240234375, 3.5393829345703125, 3.5384063720703125, 3.5320587158203125, 3.5251922607421875, 3.521026611328125, 3.5304412841796875, 3.53143310546875, 3.5211029052734375, 3.5282440185546875, 3.53057861328125, 3.531097412109375, 3.5363922119140625, 3.541107177734375, 3.5481109619140625, 3.5510711669921875, 3.5493316650390625, 3.5471343994140625, 3.547698974609375, 3.5458831787109375, 3.5349273681640625, 3.52874755859375, 3.534912109375]","[3.2568206787109375, 3.2611541748046875, 3.2585296630859375, 3.2563934326171875, 3.2624053955078125, 3.267974853515625, 3.2674713134765625, 3.2705078125, 3.27325439453125, 3.2708740234375, 3.2617950439453125, 3.25537109375, 3.2562408447265625, 3.2615966796875, 3.2647705078125, 3.260833740234375, 3.25885009765625, 3.26019287109375, 3.267730712890625, 3.2732391357421875, 3.270111083984375, 3.2682037353515625, 3.2821044921875, 3.2823333740234375, 3.2694549560546875, 3.2758636474609375, 3.2805938720703125, 3.2747802734375, 3.2734222412109375, 3.274383544921875]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.5384552001953127,3.267241923014323,1.0,1.0,51.97443010000006,None,None,51.97443010000006,None,,,rn,001,male,2022_Jul_21_1243,ErrorStudy_v1,2021.2.3,59.923298178089695,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,-997.0,Eye-tr,r,,sentence_trial,"[3.5330657958984375, 3.529937744140625, 3.529937744140625, 3.5267333984375, 3.522918701171875, 3.5216064453125, 3.5223236083984375, 3.52020263671875, 3.516448974609375, 3.51776123046875, 3.5228271484375, 3.5225372314453125, 3.5214996337890625, 3.5201263427734375, 3.5218353271484375, 3.5325775146484375, 3.5334014892578125, 3.525909423828125, 3.531280517578125, 3.539886474609375, 3.54901123046875, 3.558868408203125, 3.5638885498046875, 3.561126708984375, 3.564117431640625, 3.5708770751953125, 3.5773162841796875, 3.57891845703125, 3.57049560546875, nan]","[3.278289794921875, 3.27606201171875, 3.27606201171875, 3.26239013671875, 3.2567901611328125, 3.2597198486328125, 3.263519287109375, 3.269561767578125, 3.260009765625, 3.255279541015625, 3.264678955078125, 3.26800537109375, 3.273590087890625, 3.2761383056640625, 3.2748260498046875, 3.2756500244140625, 3.27410888671875, 3.2725067138671875, 3.273468017578125, 3.2723846435546875, 3.2745208740234375, 3.273651123046875, 3.276580810546875, 3.2883758544921875, 3.2944488525390625, 3.2904815673828125, 3.2917022705078125, 3.2985076904296875, 3.2844696044921875, nan]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",nan,nan,0.9666666666666667,0.9666666666666667,52.4750954000001,None,None,52.4750954000001,None,,,rn,001,male,2022_Jul_21_1243,ErrorStudy_v1,2021.2.3,59.923298178089695,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,-996.5,Eye-tra,a,,sentence_trial,"[nan, nan, nan, 3.307342529296875, 3.307342529296875, 3.52362060546875, 3.629638671875, 3.6237335205078125, 3.64068603515625, 3.652099609375, 3.663665771484375, 3.6746063232421875, 3.674713134765625, 3.680511474609375, 3.680511474609375, 3.687774658203125, 3.687774658203125, 3.6833953857421875, 3.6833953857421875, 3.6833953857421875, 3.6833953857421875, 3.6749267578125, 3.6749267578125, 3.6505126953125, 3.6505126953125, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, 3.3887481689453125, 3.287841796875, 3.3087158203125, 3.364044189453125, 3.3778228759765625, 3.3752288818359375, 3.373687744140625, 3.3784637451171875, 3.396453857421875, 3.396453857421875, 3.3942718505859375, 3.3942718505859375, 3.3993682861328125, 3.3993682861328125, 3.4043731689453125, 3.4043731689453125, 3.3923187255859375, 3.3923187255859375, 3.376007080078125, 3.376007080078125, 3.394012451171875, nan, nan, nan, nan]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",nan,nan,0.7333333333333333,0.7,52.975707700000385,None,None,52.975707700000385,None,,,rn,001,male,2022_Jul_21_1243,ErrorStudy_v1,2021.2.3,59.923298178089695,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,-996.0,Eye-trac,c,,sentence_trial,"[nan, nan, nan, 3.319061279296875, 3.319061279296875, 3.433013916015625, 3.433013916015625, 3.423187255859375, 3.423187255859375, 3.4615020751953125, nan, 3.368682861328125, 3.368682861328125, 3.41815185546875, 3.41815185546875, 3.4350738525390625, 3.4350738525390625, 3.4555511474609375, 3.4555511474609375, 3.4718475341796875, 3.4718475341796875, 3.482086181640625, 3.482086181640625, 3.4979400634765625, 3.5055694580078125, 3.50823974609375, 3.467742919921875, nan, nan, nan]","[nan, nan, nan, 3.0135345458984375, 3.0135345458984375, 3.1524505615234375, 3.1524505615234375, 3.167205810546875, 3.167205810546875, 3.1552581787109375, 3.136627197265625, 3.1353607177734375, 3.1353607177734375, 3.1515655517578125, 3.1515655517578125, 3.1580810546875, 3.1580810546875, 3.164703369140625, 3.164703369140625, 3.18157958984375, 3.18157958984375, 3.1895599365234375, 3.1895599365234375, 3.18621826171875, 3.2003326416015625, 3.2126617431640625, 3.198822021484375, 2.841156005859375, 2.51708984375, nan]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",nan,nan,0.7666666666666667,0.8666666666666667,53.47620900000038,None,None,53.47620900000038,None,,,rn,001,male,2022_Jul_21_1243,ErrorStudy_v1,2021.2.3,59.923298178089695,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,-995.5,Eye-track,k,,sentence_trial,"[nan, nan, nan, 2.7947540283203125, 2.7947540283203125, 3.439056396484375, 3.478179931640625, 3.47265625, 3.4578857421875, 3.45526123046875, 3.471343994140625, 3.4713897705078125, 3.46917724609375, 3.47808837890625, 3.48931884765625, 3.4897308349609375, 3.4932403564453125, 3.5050506591796875, 3.5135040283203125, 3.5247650146484375, 3.531494140625, 3.544281005859375, 3.553436279296875, 3.557342529296875, 3.507476806640625, nan, nan, nan, nan]","[nan, nan, nan, 2.9852294921875, 2.9852294921875, 3.0890045166015625, 3.1336669921875, 3.1231536865234375, 3.1223907470703125, 3.123992919921875, 3.1301422119140625, 3.1373291015625, 3.1360015869140625, 3.13702392578125, 3.1481170654296875, 3.1546783447265625, 3.15283203125, 3.1686553955078125, 3.16558837890625, 3.16973876953125, 3.187835693359375, 3.2108306884765625, 3.216766357421875, 3.2211761474609375, 3.073211669921875, 2.7874298095703125, nan, nan, nan]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",nan,nan,0.7586206896551724,0.7931034482758621,53.97683400000005,None,None,53.97683400000005,None,,,rn,001,male,2022_Jul_21_1243,ErrorStudy_v1,2021.2.3,59.923298178089695,
Letters_1st_Run.xlsx,1,1,0,Eye-tracking is a sensor technolo*zy that can detec*k a person’s presen*ve and follow what they are lookin*b at in real-ti*ne.,0,0,0,0,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,-995.0,Eye-tracki,i,,sentence_trial,"[2.6123809814453125, 2.6123809814453125, 3.4994354248046875, 3.4994354248046875, 3.52069091796875, 3.5798492431640625, 3.594329833984375, 3.599884033203125, 3.60626220703125, 3.621124267578125, 3.6326446533203125, 3.6483306884765625, 3.6607666015625, 3.651580810546875, 3.665924072265625, 3.6797943115234375, 3.6925811767578125, 3.7015228271484375, 3.721832275390625, 3.7349700927734375, 3.7435760498046875, 3.7468414306640625, 3.7479400634765625, 3.759613037109375, 3.7700042724609375, 3.777557373046875, 3.7873992919921875, 3.7888031005859375, 3.7889556884765625, 3.7899322509765625]","[nan, 3.114044189453125, 3.180419921875, 3.2581634521484375, 3.275848388671875, 3.2884674072265625, 3.2842254638671875, 3.2940521240234375, 3.306060791015625, 3.30706787109375, 3.312896728515625, 3.3145294189453125, 3.3322296142578125, 3.3464202880859375, 3.3482513427734375, 3.357757568359375, 3.3750152587890625, 3.3843994140625, 3.3932647705078125, 3.39312744140625, 3.3986358642578125, 3.40435791015625, 3.4078521728515625, 3.4110565185546875, 3.42333984375, 3.4321136474609375, 3.4324951171875, 3.432281494140625, 3.436431884765625, 3.4352569580078125]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.6078781127929687,nan,1.0,0.9666666666666667,54.46075470000051,None,None,54.46075470000051,None,,,rn,001,male,2022_Jul_21_1243,ErrorStudy_v1,2021.2.3,59.923298178089695,
